epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,539.915,0.97248,0.5918,1.22208,0.86663,0.83333,0.85497,0.56078,1.38223,0.80783,1.69728,0.0015974,0.0015974,0.0015974
63,548.669,0.92204,0.57534,1.1866,0.85683,0.81667,0.85362,0.56286,1.35794,0.80012,1.71327,0.0015908,0.0015908,0.0015908
64,557.372,0.93643,0.56235,1.20133,0.8785,0.80833,0.85573,0.55152,1.36732,0.81386,1.6863,0.0015842,0.0015842,0.0015842
65,566.12,0.92164,0.54891,1.19691,0.87481,0.81523,0.86396,0.55934,1.38985,0.76217,1.72775,0.0015776,0.0015776,0.0015776
66,574.816,0.94317,0.57016,1.19871,0.90193,0.8,0.86558,0.58638,1.27054,0.7361,1.60049,0.001571,0.001571,0.001571
67,583.689,0.93869,0.56734,1.19642,0.908,0.80833,0.86813,0.57055,1.28445,0.77889,1.58879,0.0015644,0.0015644,0.0015644
68,592.485,0.95347,0.57733,1.21519,0.9039,0.78387,0.85457,0.56368,1.35052,0.79688,1.66337,0.0015578,0.0015578,0.0015578
69,601.398,0.92763,0.58274,1.19391,0.88796,0.8,0.86865,0.56662,1.37402,0.78913,1.74299,0.0015512,0.0015512,0.0015512
70,610.121,0.93825,0.57033,1.19779,0.91407,0.81667,0.8721,0.57551,1.33664,0.74353,1.66106,0.0015446,0.0015446,0.0015446
71,618.809,0.91726,0.55582,1.19919,0.84968,0.8,0.84719,0.56523,1.35512,0.80335,1.69426,0.001538,0.001538,0.001538
72,627.453,0.91889,0.54521,1.19459,0.91323,0.825,0.85486,0.56911,1.40607,0.82436,1.73686,0.0015314,0.0015314,0.0015314
73,636.064,0.89253,0.53485,1.17214,0.89452,0.84809,0.8796,0.58218,1.36089,0.72584,1.73472,0.0015248,0.0015248,0.0015248
74,644.675,0.8805,0.5413,1.1771,0.88154,0.825,0.86582,0.55769,1.38938,0.76736,1.71242,0.0015182,0.0015182,0.0015182
75,653.32,0.90044,0.53922,1.1728,0.86689,0.84167,0.86366,0.56082,1.36423,0.77491,1.67879,0.0015116,0.0015116,0.0015116
76,661.983,0.88034,0.52755,1.16363,0.91657,0.825,0.86924,0.58424,1.33222,0.75976,1.61587,0.001505,0.001505,0.001505
77,670.643,0.88395,0.53938,1.16994,0.9054,0.80833,0.87328,0.56972,1.38662,0.74886,1.68575,0.0014984,0.0014984,0.0014984
78,679.293,0.87788,0.53645,1.16007,0.87372,0.78333,0.8414,0.5587,1.41832,0.82716,1.7405,0.0014918,0.0014918,0.0014918
79,687.993,0.86867,0.53233,1.16381,0.87553,0.825,0.85418,0.56587,1.39263,0.74597,1.70123,0.0014852,0.0014852,0.0014852
80,696.698,0.90324,0.53848,1.17862,0.89631,0.79241,0.87396,0.58068,1.32925,0.7669,1.63427,0.0014786,0.0014786,0.0014786
81,705.378,0.87653,0.53071,1.15815,0.89726,0.85833,0.88141,0.59809,1.33499,0.66874,1.63904,0.001472,0.001472,0.001472
82,714.443,0.88158,0.5273,1.16894,0.90337,0.79167,0.87202,0.55613,1.35557,0.72301,1.67935,0.0014654,0.0014654,0.0014654
83,723.15,0.86153,0.51014,1.14184,0.90473,0.83333,0.87677,0.58136,1.34865,0.70544,1.6813,0.0014588,0.0014588,0.0014588
84,731.894,0.8569,0.51001,1.13976,0.86629,0.86667,0.88799,0.5878,1.35487,0.67806,1.71324,0.0014522,0.0014522,0.0014522
85,740.637,0.87446,0.51423,1.16106,0.87394,0.80833,0.84862,0.54737,1.38671,0.81296,1.7393,0.0014456,0.0014456,0.0014456
86,749.364,0.87412,0.52341,1.16051,0.90754,0.79167,0.85379,0.5523,1.30974,0.78315,1.6396,0.001439,0.001439,0.001439
87,758.022,0.84118,0.50449,1.14556,0.89472,0.77903,0.86044,0.5641,1.3405,0.80118,1.62377,0.0014324,0.0014324,0.0014324
88,766.666,0.85367,0.5007,1.14532,0.92403,0.76667,0.86506,0.56431,1.3207,0.80474,1.65701,0.0014258,0.0014258,0.0014258
89,775.316,0.83402,0.50477,1.13623,0.86306,0.84035,0.86774,0.59821,1.28472,0.77703,1.62496,0.0014192,0.0014192,0.0014192
90,783.984,0.82607,0.49632,1.12743,0.94023,0.79167,0.85864,0.56518,1.38164,0.81736,1.72262,0.0014126,0.0014126,0.0014126
91,792.634,0.83278,0.49624,1.14539,0.88727,0.78709,0.84245,0.54934,1.38526,0.79297,1.68881,0.001406,0.001406,0.001406
92,801.263,0.80652,0.48826,1.12037,0.94028,0.825,0.88758,0.57836,1.34615,0.76613,1.68426,0.0013994,0.0013994,0.0013994
93,810.087,0.83983,0.48935,1.14946,0.92323,0.85833,0.88672,0.58506,1.33089,0.75955,1.59477,0.0013928,0.0013928,0.0013928
94,818.77,0.8157,0.49642,1.12429,0.92034,0.86654,0.8806,0.58517,1.32808,0.68104,1.68052,0.0013862,0.0013862,0.0013862
95,827.475,0.80444,0.4783,1.14036,0.87642,0.82744,0.87205,0.57201,1.3477,0.72584,1.67294,0.0013796,0.0013796,0.0013796
96,836.23,0.81638,0.48136,1.13417,0.89174,0.85833,0.87739,0.56766,1.42858,0.69022,1.78601,0.001373,0.001373,0.001373
97,845.011,0.80857,0.47511,1.11832,0.92541,0.82711,0.89222,0.60231,1.33514,0.67742,1.68299,0.0013664,0.0013664,0.0013664
98,853.931,0.82408,0.47652,1.12995,0.88664,0.8473,0.87209,0.58645,1.28901,0.7082,1.64883,0.0013598,0.0013598,0.0013598
99,862.695,0.8087,0.48689,1.12227,0.92938,0.83333,0.89272,0.59266,1.30708,0.6972,1.61983,0.0013532,0.0013532,0.0013532
100,871.416,0.78913,0.46764,1.11352,0.87537,0.87796,0.8988,0.59765,1.3367,0.70422,1.65571,0.0013466,0.0013466,0.0013466
101,880.116,0.80498,0.48333,1.12081,0.89465,0.83333,0.86902,0.57406,1.35537,0.69976,1.73365,0.00134,0.00134,0.00134
102,888.818,0.79622,0.46806,1.11928,0.90577,0.8811,0.90608,0.58401,1.30704,0.64163,1.65633,0.0013334,0.0013334,0.0013334
103,897.574,0.79347,0.46848,1.10829,0.90068,0.83126,0.88255,0.57681,1.39319,0.71983,1.73606,0.0013268,0.0013268,0.0013268
104,906.24,0.79175,0.46169,1.10738,0.93292,0.81124,0.88617,0.57922,1.37891,0.73976,1.7225,0.0013202,0.0013202,0.0013202
105,914.912,0.7937,0.46586,1.11971,0.93143,0.85,0.8912,0.59254,1.33692,0.69597,1.66456,0.0013136,0.0013136,0.0013136
106,923.701,0.78343,0.46511,1.11089,0.9061,0.81667,0.87143,0.57444,1.35221,0.73229,1.68162,0.001307,0.001307,0.001307
107,932.34,0.76588,0.45918,1.10852,0.89184,0.82456,0.84624,0.55475,1.35755,0.74891,1.67774,0.0013004,0.0013004,0.0013004
108,941.004,0.77795,0.47327,1.10484,0.87599,0.85,0.87485,0.59288,1.29579,0.70367,1.66816,0.0012938,0.0012938,0.0012938
109,949.7,0.75814,0.45169,1.09775,0.8817,0.825,0.87248,0.60401,1.27767,0.66422,1.62026,0.0012872,0.0012872,0.0012872
110,958.415,0.75183,0.44564,1.09845,0.8981,0.80788,0.86642,0.58719,1.34076,0.72562,1.68667,0.0012806,0.0012806,0.0012806
111,967.151,0.7505,0.44095,1.09136,0.88539,0.83333,0.87008,0.58818,1.33052,0.68197,1.67666,0.001274,0.001274,0.001274
112,975.849,0.76266,0.4416,1.09817,0.93387,0.82382,0.8766,0.59195,1.36646,0.66176,1.73581,0.0012674,0.0012674,0.0012674
113,984.603,0.74371,0.44217,1.08802,0.90772,0.81968,0.87182,0.59232,1.30732,0.70061,1.69167,0.0012608,0.0012608,0.0012608
114,993.295,0.74618,0.43137,1.09071,0.90533,0.79696,0.87106,0.59754,1.35847,0.69393,1.69106,0.0012542,0.0012542,0.0012542
115,1002,0.76484,0.44784,1.09258,0.90751,0.81768,0.86736,0.59008,1.32577,0.72526,1.7046,0.0012476,0.0012476,0.0012476
116,1010.78,0.74421,0.45465,1.09325,0.89939,0.85833,0.88966,0.58649,1.34906,0.66858,1.70636,0.001241,0.001241,0.001241
117,1019.51,0.75475,0.45717,1.09959,0.8931,0.83547,0.87803,0.56387,1.39344,0.68736,1.73718,0.0012344,0.0012344,0.0012344
118,1028.35,0.73642,0.44823,1.09271,0.90033,0.78333,0.86986,0.57474,1.34546,0.70937,1.71387,0.0012278,0.0012278,0.0012278
119,1037.04,0.71577,0.42896,1.0854,0.87916,0.80833,0.86645,0.58407,1.34892,0.74054,1.7092,0.0012212,0.0012212,0.0012212
120,1045.74,0.7415,0.43887,1.0772,0.92366,0.83333,0.86982,0.5774,1.33995,0.69811,1.71803,0.0012146,0.0012146,0.0012146
121,1054.45,0.73874,0.43979,1.08507,0.89116,0.75,0.87124,0.57725,1.39441,0.72201,1.76505,0.001208,0.001208,0.001208
122,1063.17,0.718,0.4336,1.0773,0.87749,0.83333,0.88034,0.58864,1.35177,0.70049,1.71264,0.0012014,0.0012014,0.0012014
123,1071.87,0.69563,0.41605,1.06231,0.87251,0.85549,0.8744,0.56167,1.40143,0.7273,1.78193,0.0011948,0.0011948,0.0011948
124,1080.6,0.71428,0.42819,1.08084,0.93165,0.825,0.88781,0.60228,1.3422,0.68803,1.68738,0.0011882,0.0011882,0.0011882
125,1089.38,0.7114,0.42694,1.06372,0.93825,0.81667,0.87903,0.58381,1.35687,0.66122,1.74632,0.0011816,0.0011816,0.0011816
126,1098.16,0.72007,0.42896,1.07425,0.89222,0.84167,0.88216,0.57554,1.35834,0.6942,1.71144,0.001175,0.001175,0.001175
127,1106.92,0.6921,0.42319,1.06467,0.85567,0.8399,0.87304,0.58181,1.33424,0.71361,1.70279,0.0011684,0.0011684,0.0011684
128,1115.66,0.68532,0.40992,1.06712,0.92596,0.85,0.88038,0.57015,1.39918,0.72985,1.72373,0.0011618,0.0011618,0.0011618
129,1124.55,0.69687,0.40721,1.07416,0.91715,0.83024,0.88668,0.60172,1.3028,0.68357,1.6334,0.0011552,0.0011552,0.0011552
130,1133.31,0.69013,0.4132,1.05744,0.89606,0.825,0.87203,0.59414,1.35274,0.65416,1.74293,0.0011486,0.0011486,0.0011486
131,1142.06,0.69324,0.41753,1.06404,0.91729,0.83182,0.87779,0.5932,1.35781,0.67909,1.74985,0.001142,0.001142,0.001142
132,1150.82,0.68757,0.40847,1.05607,0.93348,0.81855,0.88653,0.59734,1.39536,0.64991,1.78555,0.0011354,0.0011354,0.0011354
133,1159.51,0.70511,0.42469,1.0594,0.89263,0.84167,0.86602,0.58445,1.35233,0.69079,1.72484,0.0011288,0.0011288,0.0011288
134,1168.23,0.67091,0.4015,1.0482,0.88574,0.83979,0.87273,0.56621,1.38335,0.72578,1.81248,0.0011222,0.0011222,0.0011222
135,1176.95,0.68122,0.41902,1.05562,0.9197,0.825,0.88666,0.60228,1.32846,0.67944,1.72028,0.0011156,0.0011156,0.0011156
136,1185.65,0.69583,0.4237,1.05998,0.92621,0.83681,0.89329,0.59994,1.37809,0.64664,1.76803,0.001109,0.001109,0.001109
137,1194.38,0.66205,0.39699,1.03738,0.93748,0.825,0.88016,0.57053,1.38832,0.64058,1.7778,0.0011024,0.0011024,0.0011024
138,1203.1,0.66715,0.40907,1.0421,0.90226,0.80833,0.87352,0.58614,1.34034,0.68933,1.7704,0.0010958,0.0010958,0.0010958
139,1211.83,0.6716,0.40864,1.05437,0.92156,0.80833,0.84975,0.57454,1.34138,0.75802,1.77644,0.0010892,0.0010892,0.0010892
140,1220.59,0.68016,0.42118,1.05278,0.90734,0.81601,0.86285,0.5963,1.31567,0.70707,1.73448,0.0010826,0.0010826,0.0010826
141,1229.33,0.6636,0.39638,1.04337,0.84736,0.87899,0.87626,0.5977,1.31303,0.67834,1.70781,0.001076,0.001076,0.001076
142,1238.17,0.64348,0.40299,1.03758,0.88673,0.83333,0.87241,0.58437,1.36102,0.697,1.79999,0.0010694,0.0010694,0.0010694
143,1246.83,0.63789,0.39849,1.04967,0.91285,0.825,0.86796,0.58668,1.34758,0.68743,1.75884,0.0010628,0.0010628,0.0010628
144,1255.5,0.66561,0.3932,1.03985,0.93387,0.84167,0.87755,0.58727,1.29325,0.67726,1.68812,0.0010562,0.0010562,0.0010562
145,1264.14,0.6555,0.39476,1.03494,0.90102,0.75856,0.8454,0.56703,1.33075,0.85657,1.72778,0.0010496,0.0010496,0.0010496
146,1272.8,0.64176,0.38465,1.04003,0.8882,0.81667,0.87764,0.60115,1.31141,0.68211,1.74395,0.001043,0.001043,0.001043
147,1281.48,0.66364,0.38712,1.04417,0.90661,0.76667,0.84612,0.55509,1.2987,0.69043,1.74275,0.0010364,0.0010364,0.0010364
148,1290.19,0.65122,0.38493,1.0384,0.86877,0.80833,0.83511,0.55575,1.30854,0.72805,1.7002,0.0010298,0.0010298,0.0010298
149,1298.88,0.65338,0.39438,1.04188,0.92659,0.84144,0.8856,0.60401,1.31529,0.65227,1.72071,0.0010232,0.0010232,0.0010232
150,1307.77,0.64886,0.39482,1.03671,0.89481,0.85065,0.87523,0.58304,1.32442,0.64994,1.71406,0.0010166,0.0010166,0.0010166
151,1316.48,0.63242,0.37935,1.03791,0.86336,0.85,0.87507,0.57695,1.35825,0.67293,1.75734,0.00101,0.00101,0.00101
152,1325.18,0.63231,0.38383,1.03236,0.87639,0.84167,0.87582,0.59119,1.35119,0.67417,1.75514,0.0010034,0.0010034,0.0010034
153,1333.91,0.63267,0.37873,1.03522,0.89381,0.85833,0.87302,0.5775,1.34547,0.64321,1.81545,0.0009968,0.0009968,0.0009968
154,1342.58,0.6289,0.38277,1.02292,0.9243,0.85,0.8806,0.56412,1.37847,0.65964,1.83401,0.0009902,0.0009902,0.0009902
155,1351.42,0.60398,0.38057,1.01426,0.89167,0.82312,0.86655,0.58402,1.3154,0.69359,1.76773,0.0009836,0.0009836,0.0009836
156,1360.1,0.63825,0.39318,1.03867,0.91446,0.83333,0.88204,0.57458,1.32885,0.68288,1.74287,0.000977,0.000977,0.000977
157,1368.79,0.61186,0.37771,1.02947,0.88895,0.8,0.87012,0.58339,1.34497,0.67219,1.75864,0.0009704,0.0009704,0.0009704
158,1377.5,0.61157,0.37643,1.01329,0.89903,0.78333,0.87426,0.5952,1.32148,0.68966,1.7749,0.0009638,0.0009638,0.0009638
